CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_EDITORA;NM_CIDADE;NM_PAIS;DS_IDIOMA;NR_PAGINAS;DS_ISBN_ISSN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
33002010040P1;PSICOLOGIA SOCIAL;USP;UNIVERSIDADE DE SAO PAULO;2017;23200740;2;10;EDITORIAL DA REVISTA IDE - PSICANALISE E CULTURA (VOL. 63);SBPSP;CULTURA;BRASIL;PORTUGUES;-;-;VARIOS;-;-;0
33002010040P1;PSICOLOGIA SOCIAL;USP;UNIVERSIDADE DE SAO PAULO;2017;23200774;2;10;BLOG DA SOCIEDADE BRASILEIRA DE PSICANALISE;SOCIEDADE BRASILEIRA DE PSICANALISE;RIBEIRAO PRETO;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTPS://SBPRP.COM/2017/11/06/PSICANALISE-E-ESCOLHA-DA-PROFISSAO/;-;0
33002010040P1;PSICOLOGIA SOCIAL;USP;UNIVERSIDADE DE SAO PAULO;2017;23200829;2;10;BLOG BOITEMPO;BOITEMPO EDITORIAL;SAO PAULO;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTPS://BLOGDABOITEMPO.COM.BR/2017/05/19/SAFATLE-NOS-RESTA-A-DESOBEDIENCIA-SISTEMATICA-A-TODAS-AS-ACOES-GOVERNAMENTAIS/;-;0
33002010040P1;PSICOLOGIA SOCIAL;USP;UNIVERSIDADE DE SAO PAULO;2017;23200849;2;10;CATALOGO;CONTRAPONTO;SAO PAULO;BRASIL;PORTUGUES;02;-;VARIOS;-;-;0
33002010040P1;PSICOLOGIA SOCIAL;USP;UNIVERSIDADE DE SAO PAULO;2017;23200862;2;10;BLOG DA FUCAPI;FUCAPI;SAO PAULO;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTP://WWW.FUCAPI.BR/BLOGFUCAPI/2017/08/30/TESTE-VOCACIONAL-PODE-SER-PRIMEIRO-PASSO-NA-ESCOLHA-DA-CARREIRA/;-;0
33002010040P1;PSICOLOGIA SOCIAL;USP;UNIVERSIDADE DE SAO PAULO;2017;23200900;2;10;BLOG DISNEY BABY;UOL;SAO PAULO;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTP://DISNEYBABBLE.UOL.COM.BR/BR/COMPORTAMENTO/VOCE-DEIXA-O-SEU-PARCEIRO-EXERCER-O-PAPEL-DE-PAI;-;0
31030017006P5;DIREITO;UVA;UNIVERSIDADE VEIGA DE ALMEIDA;2017;23201478;2;10;LIVRO;AUTOGRAFIA;RIO DE JANEIRO;BRASIL;PORTUGUES;260;0000000000000;VARIOS;-;-;0
31030017006P5;DIREITO;UVA;UNIVERSIDADE VEIGA DE ALMEIDA;2017;23201508;2;10;COMUNICACION COMPLETA DE INVESTIGACION CIENTIFICA;UNIVERSIDADE VEIGA DE ALMEIDA;RIO DE JANEIRO;BRASIL;PORTUGUES;15;-;IMPRESSO;-;-;0
12001015063P6;ZOOLOGIA;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;2017;23202659;2;10;ERRATA;PENSOFT;-;BRASIL;INGLES;-;1313-2970;MEIO DIGITAL;HTTPS://ZOOKEYS.PENSOFT.NET/ARTICLE/21220/;-;0
12001015063P6;ZOOLOGIA;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;2017;23202721;2;10;BIBLIOTECA VIRTUAL;INPA;-;-;PORTUGUES;-;-;MEIO DIGITAL;HTTPS://PPBIO.INPA.GOV.BR/MORCEGOTECA;-;0
