CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;DS_FORMACAO_INSTRUMENTAL;NM_EDITORA;NM_CIDADE;NM_PAIS;NR_PAGINAS;NR_CATALOGO;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
40001016055P2;MUSICA;UFPR;UNIVERSIDADE FEDERAL DO PARANA;2017;22211145;2;28;OUTRA;VOZ/CANTO;NAO MENCIONADO.;CURITIBA, PR;BRASIL;-;-;MEIO DIGITAL;-;ATIVIDADE LIGADA AO PROJETO DE PESQUISA DO QUAL O ALUNO FAZ PARTE.;0
53001010057P5;MUSICA;UNB;UNIVERSIDADE DE BRASILIA;2017;22669123;2;28;CANTO;-;SEM EDITORA;-;-;-;-;IMPRESSO;-;-;0
53001010057P5;MUSICA;UNB;UNIVERSIDADE DE BRASILIA;2017;22669126;2;28;OUTRA;VIOLINO E PIANO;EDICAO DO AUTOR;-;BRASIL;5;-;IMPRESSO;-;-;0
53001010057P5;MUSICA;UNB;UNIVERSIDADE DE BRASILIA;2017;22669150;2;28;OUTRA;PIANO;EDICAO DO AUTOR;-;BRASIL;4;-;IMPRESSO;-;-;0
53001010057P5;MUSICA;UNB;UNIVERSIDADE DE BRASILIA;2017;22669195;2;28;OUTRA;PIANO;EDICAO DO AUTOR;-;BRASIL;2;-;IMPRESSO;-;-;0
53001010057P5;MUSICA;UNB;UNIVERSIDADE DE BRASILIA;2017;22669317;2;28;CANTO;-;SEM EDITORA;-;-;-;-;IMPRESSO;-;-;0
33003017077P9;MUSICA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;22914410;2;28;OUTRA;VIOLAO SOLO;UNIVERSIDADE FEDERAL DE MINAS GERAIS;BELO HORIZONTE, MG;BRASIL;2;-;MEIO DIGITAL;HTTP://SIMPOSIODEVIOLAO.COM.BR/RESULTADO;-;0
33003017077P9;MUSICA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;22914411;2;28;ORQUESTRAL;CORO MISTO, ORQUESTRA DE CORDAS E PERCUSSAO.;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS;PORTO ALEGRE, RS;BRASIL;80;-;MEIO DIGITAL;HTTP://WWW.UFRGS.BR/SEFIM/OJS/INDEX.PHP/SM/ARTICLE/VIEW/510/425;-;0
33003017077P9;MUSICA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;22914412;2;28;OUTRA;QUINTETO DE CORDAS;INDEPENDENTE;-;BRASIL;-;-;VARIOS;-;"MUSICAS: ""OUTRO LUGAR"" DE ARNALDO BLACK; ""ITAVERA"" DE GERALDO ESPINDOLA; ""BODOQUE"" DE TETE ESPINDOLA E MARTA CATUNDA; ""ELETRICO BEIJO"" DE PHILIPPE KADOSCH, ARNALDO BLACJ E TETE ESINDOLA; ""PASSARO DO PANTANO"" DE TETE ESINDOLA LUZ E ANZOL.";0
33003017077P9;MUSICA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;22914597;2;28;CANTO;CANTO E PIANO;MINAS DE SOM - ESCOLA DE MUSICA - UFMG;BELO HORIZONTE (MG);BRASIL;-;-;IMPRESSO;-;ISSN/ISBN: C331C;0
